   32640 : add <- phi                    , icmp <- add                   , br <- icmp                    , ret <- call                   , lshr <- call                  
   32640 : icmp <- add                   , br <- icmp                    , ret <- call                   , lshr <- call                  , trunc <- lshr                 
   32640 : br <- icmp                    , ret <- call                   , lshr <- call                  , trunc <- lshr                 , and <- trunc                  
    6271 : br <- icmp                    , add <- phi                    , icmp <- add                   , br <- icmp                    , getelementptr <- alloca       
    6271 : add <- phi                    , icmp <- add                   , br <- icmp                    , getelementptr <- alloca       , getelementptr <- phi          
    3200 : store <- getelementptr        , add <- phi                    , icmp <- add                   , br <- icmp                    , add <- phi                    
    3096 : icmp <- add                   , br <- icmp                    , getelementptr <- alloca       , getelementptr <- phi          , trunc <- phi                  
    3096 : br <- icmp                    , getelementptr <- alloca       , getelementptr <- phi          , trunc <- phi                  , trunc <- phi                  
    3096 : getelementptr <- alloca       , getelementptr <- phi          , trunc <- phi                  , trunc <- phi                  , shl <- trunc                  
    3096 : getelementptr <- phi          , trunc <- phi                  , trunc <- phi                  , shl <- trunc                  , or <- shl                     
    3096 : trunc <- phi                  , trunc <- phi                  , shl <- trunc                  , or <- shl                     , shl <- phi                    
    3096 : trunc <- phi                  , shl <- trunc                  , or <- shl                     , shl <- phi                    , getelementptr <- getelementptr
    3096 : shl <- trunc                  , or <- shl                     , shl <- phi                    , getelementptr <- getelementptr, getelementptr <- shl          
    3096 : or <- shl                     , shl <- phi                    , getelementptr <- getelementptr, getelementptr <- shl          , load <- getelementptr         
    3095 : store <- call                 , add <- phi                    , icmp <- add                   , br <- icmp                    , add <- phi                    
    3072 : getelementptr <- alloca       , getelementptr <- phi          , shl <- phi                    , getelementptr <- getelementptr, getelementptr <- shl          
    3072 : getelementptr <- phi          , shl <- phi                    , getelementptr <- getelementptr, getelementptr <- shl          , load <- getelementptr         
    3048 : icmp <- add                   , br <- icmp                    , getelementptr <- alloca       , getelementptr <- phi          , shl <- phi                    
    3048 : br <- icmp                    , getelementptr <- alloca       , getelementptr <- phi          , shl <- phi                    , getelementptr <- getelementptr
     128 : getelementptr <- alloca       , getelementptr <- phi          , ret <- call                   , lshr <- call                  , trunc <- lshr                 
     128 : getelementptr <- phi          , ret <- call                   , lshr <- call                  , trunc <- lshr                 , and <- trunc                  
     127 : icmp <- add                   , br <- icmp                    , getelementptr <- alloca       , getelementptr <- phi          , ret <- call                   
     127 : br <- icmp                    , getelementptr <- alloca       , getelementptr <- phi          , ret <- call                   , lshr <- call                  
      25 : icmp <- call                  , br <- icmp                    , sub <- call                   , sub <- load                   , icmp <- sub                   
      25 : br <- icmp                    , sub <- call                   , sub <- load                   , icmp <- sub                   , br <- icmp                    
      25 : sub <- call                   , sub <- load                   , icmp <- sub                   , br <- icmp                    , sub <- sub                    
      25 : sub <- load                   , icmp <- sub                   , br <- icmp                    , sub <- sub                    , call <- sub                   
      25 : icmp <- sub                   , br <- icmp                    , sub <- sub                    , call <- sub                   , call <- load                  
      25 : br <- icmp                    , sub <- sub                    , call <- sub                   , call <- load                  , getelementptr <- alloca       
      25 : sub <- sub                    , call <- sub                   , call <- load                  , getelementptr <- alloca       , getelementptr <- phi          
      24 : br <- icmp                    , add <- phi                    , icmp <- add                   , br <- icmp                    , icmp <- call                  
      24 : add <- phi                    , icmp <- add                   , br <- icmp                    , icmp <- call                  , br <- icmp                    
      24 : icmp <- add                   , br <- icmp                    , icmp <- call                  , br <- icmp                    , sub <- call                   
      24 : br <- icmp                    , icmp <- call                  , br <- icmp                    , sub <- call                   , sub <- load                   
      24 : call <- sub                   , call <- load                  , getelementptr <- alloca       , getelementptr <- phi          , shl <- phi                    
      24 : call <- load                  , getelementptr <- alloca       , getelementptr <- phi          , shl <- phi                    , getelementptr <- getelementptr
       1 : call <- load                  , trunc <- call                 , call <- trunc                 , br <- icmp                    , br <- icmp                    
       1 : trunc <- call                 , call <- trunc                 , br <- icmp                    , br <- icmp                    , trunc <- lshr                 
       1 : call <- trunc                 , br <- icmp                    , br <- icmp                    , trunc <- lshr                 , trunc <- lshr                 
       1 : call <- trunc                 , call <- trunc                 , call <- load                  , store <- call                 , icmp <- call                  
       1 : call <- trunc                 , call <- load                  , store <- call                 , icmp <- call                  , br <- icmp                    
       1 : call <- load                  , store <- call                 , icmp <- call                  , br <- icmp                    , sub <- call                   
       1 : store <- call                 , icmp <- call                  , br <- icmp                    , sub <- call                   , sub <- load                   
       1 : call <- sub                   , call <- load                  , getelementptr <- alloca       , getelementptr <- phi          , ret <- call                   
       1 : call <- load                  , getelementptr <- alloca       , getelementptr <- phi          , ret <- call                   , lshr <- call                  
